liga,position,valor
Serie A,Defender,4.0
Premier League,Goalkeeper,6.0
Premier League,Defender,12.0
Ligue 1,Defender,20.0
Ligue 1,Attack,10.0
Ligue 1,Attack,2.0
Bundesliga,Defender,18.0
Ligue 1,Midfield,2.0
Ligue 1,Defender,0.8
Serie A,Midfield,25.0
Premier League,Midfield,27.0
Ligue 1,Attack,1.5
Serie A,Attack,6.0
LaLiga,Defender,9.0
LaLiga,Attack,13.0
Premier League,Defender,60.0
Premier League,Midfield,12.0
LaLiga,Defender,2.5
Premier League,Defender,45.0
Premier League,Defender,28.0
Bundesliga,Defender,12.0
Premier League,Midfield,22.0
Serie A,Attack,90.0
Serie A,Attack,35.0
Premier League,Midfield,75.0
LaLiga,Attack,0.25
Premier League,Midfield,3.2
Premier League,Goalkeeper,4.0
Premier League,Midfield,120.0
Serie A,Defender,5.0
LaLiga,Defender,2.5
LaLiga,Midfield,14.0
Serie A,Midfield,15.0
Serie A,Defender,0.9
Serie A,Midfield,4.0
LaLiga,Attack,8.0
Ligue 1,Defender,3.0
LaLiga,Defender,4.0
Bundesliga,Attack,18.0
Ligue 1,Attack,6.0
Serie A,Midfield,28.0
Serie A,Midfield,4.0
Serie A,Midfield,7.0
Premier League,Defender,35.0
LaLiga,Attack,2.5
Ligue 1,Goalkeeper,10.0
Bundesliga,Defender,5.0
Ligue 1,Defender,22.0
LaLiga,Attack,3.0
Premier League,Defender,15.0
Bundesliga,Defender,2.5
LaLiga,Midfield,3.0
Premier League,Attack,20.0
Serie A,Attack,45.0
Ligue 1,Defender,12.0
Bundesliga,Defender,5.0
Premier League,Attack,40.0
LaLiga,Defender,15.0
Serie A,Defender,10.0
LaLiga,Defender,3.0
Serie A,Attack,25.0
Serie A,Attack,60.0
Bundesliga,Defender,24.0
LaLiga,Midfield,120.0
Premier League,Defender,28.0
Bundesliga,Defender,9.0
Bundesliga,Defender,14.0
Premier League,Attack,12.0
Bundesliga,Defender,5.0
